#gene	sample1	sample2	sample3	sample7	sample8	sample9
anise	629041	603748	509380	2938	4383	2777
apricot	279	169	123	378	184	186
artichoke	20145	8063	2391	167	108	140
arugula	2415	2613	3016	4623	2374	4852
asparagus	449	185	330	348	223	595
avocado	381	455	775	252	422	964
banana	1387	922	961	1144	1174	644
basil	1100	726	398	932	1289	2101
beet	61	18	28	38	26	39
blackberry	249	192	112	81	351	156
blueberry	791	497	341	995	719	668
broccoli	285022	314981	453465	4263	3344	2588
butternut	100589	189504	82422	1900	2204	1370
cabbage	1757564	970872	1748919	12610	24273	9055
cantaloupe	348175	169174	169463	1749	993	3195
caraway	1486	2065	2410	4695	4081	4300
carrot	258620	577000	319579	2732	3277	2132
cauliflower	2978	2156	2176	6355	2167	847
cayenne	59605	83754	57247	567	2025	808
celery	719619	917199	649099	7076	15551	5471
chard	117932	81579	58081	488	357	1134
cherry	266494	282654	401181	3955	4485	5039
chestnut	1133	728	1170	1624	1232	1235
chickpea	38274	39654	30498	417	399	139
cilantro	28397	20887	25532	587	600	206
clementine	38052	52103	40694	105	760	865
coconut	246491	252090	114983	2239	4111	2029
coriander	337	107	200	149	260	309
cranberry	528048	904588	1077138	11538	7732	14954
cucumber	208471	53768	87466	1640	873	1642
currant	106601	55501	108271	1261	1123	1015
eggplant	3517	1150	1843	3625	2523	2860
elderberry	2158	1897	1726	2869	3412	2522
endive	2788	3288	2638	5381	3265	5879
fennel	193759	484353	298603	8910	3870	2606
fig	1846691	1698946	1266800	15504	5536	17378
garlic	218208	185732	276255	3258	1543	3210
ginger	149	111	81	165	126	152
gooseberry	17216	17056	17367	203	97	191
grape	905	994	514	995	1048	2432
grapefruit	103070	120826	194803	1349	3328	1577
guava	4748	1846	1638	4090	2668	2758
honeydew	219607	244320	92823	1504	3706	3162
horseradish	12618	14936	11715	153	128	143
huckleberry	179	269	136	165	187	253
juniper	2623	2423	2378	3798	4604	1924
kiwi	83237	149312	166929	2531	2672	1528
kohlrabi	47229	76300	46593	595	429	676
lavender	132592	161404	78254	1926	643	1315
leek	38810	32261	25581	348	196	305
lentil	358844	137346	263162	3481	4010	8072
lettuce	958	778	135	1108	637	352
lime	3969	5397	2924	3174	6741	4298
maize	27573	40065	51413	948	1394	768
mango	4310	3058	4415	3647	2577	3708
melon	907609	1121543	797169	4976	7079	4558
mulberry	224	207	116	119	109	51
mushroom	2656	2562	1613	1255	1323	5389
mustard	562	723	2091	1971	2145	1064
nectarine	52295	27029	62721	472	782	1015
okra	126700	146244	437259	3683	7242	8255
olive	2384	3621	2809	1695	2255	1410
onion	62689	253221	156858	1576	1137	885
orange	38360	48402	34752	708	485	606
oregano	52236	22297	8360	291	404	413
papaya	1036	2060	1509	2455	2303	2433
parsley	0	2	0	1	3	1
parsnip	2006	2238	2418	1540	940	3087
pea	1893	3264	3092	1179	2943	3952
peach	526	507	765	1422	851	2936
pear	388	331	495	746	464	624
pepper	11402	19176	13286	250	170	291
persimmon	509	413	650	590	519	1169
pineapple	2946	2098	5531	4472	6449	2311
plantain	2850	4171	2663	3084	3503	1935
plum	1030	2553	3317	4170	994	1004
pomegranate	182598	159165	188681	1217	2030	5359
potato	267	386	534	685	633	820
pumpkin	4540	4114	3953	6346	9200	7152
quince	148238	153480	76694	897	1128	945
radish	140179	103639	151202	782	572	536
raisin	759	320	501	755	309	423
raspberry	10335	7771	8999	11611	14613	14096
rhubarb	116813	193129	194047	3662	4357	793
rosemary	1843	2177	6925	4948	2847	2264
rutabaga	2621	2021	1593	4855	2419	2786
sage	75307	120396	86864	611	655	1044
scallion	1956	2241	2066	1897	3572	3456
spinach	37132	25406	76848	1049	1034	649
strawberry	1	3	4	5	5	6
tamarind	1450	1692	3720	3793	3795	3528
tangerine	46556	52996	63907	834	323	226
thyme	29181	37787	23152	714	428	655
tomato	3182	3974	1902	3941	3321	3156
turnip	18025	59197	32242	491	435	828
wasabi	116851	102763	161458	1032	504	1466
watercress	975	684	1712	2266	1104	871
watermelon	959095	285253	992463	15370	13546	15495
yam	109167	53460	83175	739	579	841
zucchini	523	714	1736	3511	2507	1229
OR4F5	4237	11624	5140	7651	6197	7769
FO538757.2	4	9	17	9	8	13
FO538757.1	641	1046	368	1018	641	612
OR4F29	5371	3704	4013	2988	3042	4863
OR4F16	6723	4003	7249	8578	12583	16217
SAMD11	1792	3793	2329	4137	4501	2499
NOC2L	310	3080	2087	1387	2679	2166
KLHL17	2181	2656	1825	1467	2299	2188
PLEKHN1	498	1498	1188	1108	1280	615
PERM1	660	247	380	642	261	646
HES4	2318	3167	1472	2386	2265	2689
ISG15	1689	1818	1422	2939	2110	1887
AGRN	4	5	3	12	8	8
RNF223	178	203	49	52	173	109
C1orf159	990	918	849	739	1420	452
TTLL10	952	657	779	447	2162	954
TNFRSF18	30	32	15	33	33	7
TNFRSF4	1254	468	1145	1000	1371	549
SDF4	1231	1012	1943	1955	3908	1576
B3GALT6	2732	10031	10472	6619	6863	10429
FAM132A	11014	9725	17792	16666	15874	14433
UBE2J2	4539	3943	3107	6130	3339	5537
SCNN1D	1405	1256	1221	1000	1579	2847
ACAP3	7398	8231	7059	11231	4843	11734
PUSL1	798	2072	940	1281	1175	2131
CPSF3L	2167	1714	2376	1739	2059	4010
CPTP	1221	851	2021	1573	2706	1953
TAS1R3	5298	2904	4682	2937	4068	8384
DVL1	3318	3924	1644	2096	1283	1933
MXRA8	1543	4657	5409	3334	7201	3140
AURKAIP1	114	196	328	335	538	705
CCNL2	2321	1345	1975	1452	4677	867
MRPL20	79	70	71	108	63	56
ANKRD65	872	863	589	896	651	1309
TMEM88B	2132	2031	1568	2254	4709	1833
VWA1	19	31	26	9	35	27
ATAD3C	5922	4713	2376	7106	7444	5852
ATAD3B	834	1625	667	1416	1797	2533
ATAD3A	623	330	295	422	541	714
TMEM240	510	434	187	640	791	930
SSU72	2756	1580	2255	1900	4908	2247
AL645728.1	1871	1556	1880	2894	2615	1039
FNDC10	7518	4547	5251	5603	3723	9847
MIB2	5657	1539	1259	3285	5400	4541
MMP23B	190	264	321	262	419	361
CDK11B	2793	1863	1865	1942	1125	1728
SLC35E2B	2312	2790	1788	1837	2234	1935
CDK11A	788	2654	2222	3194	3575	2499
SLC35E2	314	323	241	204	465	540
NADK	869	474	482	760	413	795
GNB1	710	581	973	879	1050	2752
CALML6	420	384	173	268	821	341
TMEM52	2869	3283	3727	3813	3495	3472
CFAP74	63	58	50	91	64	76
GABRD	1007	2275	2545	952	1287	3008
PRKCZ	1443	621	839	1734	1695	1716
FAAP20	698	775	1142	534	1747	575
SKI	732	614	441	706	471	369
MORN1	1406	1423	1513	2209	1371	1010
RER1	379	292	638	501	1310	1080
PEX10	166	306	340	725	229	658
PLCH2	2099	3853	1956	5034	6247	4862
PANK4	353	278	398	413	568	600
HES5	3953	3324	2268	2875	3920	3798
TNFRSF14	976	3123	783	2374	1715	2151
FAM213B	380	278	285	827	211	371
MMEL1	1232	1103	204	1609	2131	2640
TTC34	2014	2640	2280	1456	6030	5007
ACTRT2	7286	2201	1983	7320	6065	5782
PRDM16	1340	987	1889	2156	2032	1803
ARHGEF16	1138	1737	1341	2414	1308	1469
MEGF6	4665	4883	2630	5116	5615	3460
TPRG1L	1159	366	549	732	1742	988
WRAP73	5636	6893	5003	6268	4199	4114
TP73	6972	2493	3275	8509	4794	5561
CCDC27	614	1170	679	1153	554	866
SMIM1	481	396	559	364	753	719
LRRC47	87	39	98	130	77	167
CEP104	3569	4768	9912	4226	10220	8362
DFFB	524	292	372	320	370	561
C1orf174	7384	6510	3884	7271	15428	7287
AJAP1	1292	480	1233	1009	681	1096
NPHP4	41	62	47	45	88	82
KCNAB2	1011	2351	1871	4087	2403	3099
CHD5	595	565	925	1394	924	798
RPL22	10149	10086	13269	16309	17034	14280
RNF207	3230	2867	3446	5851	4583	4501
ICMT	1555	1485	1231	1262	935	1151
HES3	21	12	15	15	23	16
GPR153	566	870	695	1070	1370	548
ACOT7	1286	592	1822	1769	467	1674
HES2	4115	7530	4777	3842	4144	14138
ESPN	16346	7635	15640	9536	7162	6833
TNFRSF25	576	894	283	347	450	563
PLEKHG5	6076	3467	3240	2296	6532	1888
NOL9	6075	7379	6592	7256	9582	8351
TAS1R1	1416	2598	1035	676	1303	1670
ZBTB48	1948	1090	880	3024	3364	2697
KLHL21	2652	5339	2490	8100	5161	4857
PHF13	2466	2397	2102	3190	1655	3330
THAP3	1578	2674	2693	4352	5548	6250
DNAJC11	1681	1964	1309	1104	1940	2241
CAMTA1	341	1573	1405	1953	2292	775
VAMP3	10204	11384	16399	20882	16027	7771
PER3	5376	7151	3089	8617	8389	6951
UTS2	367	231	473	367	150	139
TNFRSF9	794	722	709	1923	1325	804
PARK7	1675	1530	3093	4408	2572	3137
ERRFI1	799	1557	824	757	711	903
SLC45A1	208	407	320	443	709	302
RERE	3877	2813	2748	9613	5329	5249
ENO1	2548	3391	9648	6083	9718	5540
CA6	2227	1087	2164	1564	2139	2148
SLC2A7	7740	3587	5624	7380	5608	8843
SLC2A5	542	768	1618	1816	1063	859
GPR157	959	1122	691	1748	554	1553
H6PD	163	140	162	298	326	252
SPSB1	191	245	211	315	560	129
SLC25A33	2113	1422	750	1876	2751	1877
TMEM201	657	587	1322	435	1037	1611
PIK3CD	6435	6072	2848	3739	4324	4521
CLSTN1	8833	2329	3051	5366	7189	2719
AL357140.1	2988	3643	3312	3827	3884	737
