#gene	sample7	sample8	sample9
anise	2938	4383	2777
apricot	378	184	186
artichoke	167	108	140
arugula	4623	2374	4852
asparagus	348	223	595
avocado	252	422	964
banana	1144	1174	644
basil	932	1289	2101
beet	38	26	39
blackberry	81	351	156
blueberry	995	719	668
broccoli	4263	3344	2588
butternut	1900	2204	1370
cabbage	12610	24273	9055
cantaloupe	1749	993	3195
caraway	4695	4081	4300
carrot	2732	3277	2132
cauliflower	6355	2167	847
cayenne	567	2025	808
celery	7076	15551	5471
chard	488	357	1134
cherry	3955	4485	5039
chestnut	1624	1232	1235
chickpea	417	399	139
cilantro	587	600	206
clementine	105	760	865
coconut	2239	4111	2029
coriander	149	260	309
cranberry	11538	7732	14954
cucumber	1640	873	1642
currant	1261	1123	1015
eggplant	3625	2523	2860
elderberry	2869	3412	2522
endive	5381	3265	5879
fennel	8910	3870	2606
fig	15504	5536	17378
garlic	3258	1543	3210
ginger	165	126	152
gooseberry	203	97	191
grape	995	1048	2432
grapefruit	1349	3328	1577
guava	4090	2668	2758
honeydew	1504	3706	3162
horseradish	153	128	143
huckleberry	165	187	253
juniper	3798	4604	1924
kiwi	2531	2672	1528
kohlrabi	595	429	676
lavender	1926	643	1315
leek	348	196	305
lentil	3481	4010	8072
lettuce	1108	637	352
lime	3174	6741	4298
maize	948	1394	768
mango	3647	2577	3708
melon	4976	7079	4558
mulberry	119	109	51
mushroom	1255	1323	5389
mustard	1971	2145	1064
nectarine	472	782	1015
okra	3683	7242	8255
olive	1695	2255	1410
onion	1576	1137	885
orange	708	485	606
oregano	291	404	413
papaya	2455	2303	2433
parsley	1	3	1
parsnip	1540	940	3087
pea	1179	2943	3952
peach	1422	851	2936
pear	746	464	624
pepper	250	170	291
persimmon	590	519	1169
pineapple	4472	6449	2311
plantain	3084	3503	1935
plum	4170	994	1004
pomegranate	1217	2030	5359
potato	685	633	820
pumpkin	6346	9200	7152
quince	897	1128	945
radish	782	572	536
raisin	755	309	423
raspberry	11611	14613	14096
rhubarb	3662	4357	793
rosemary	4948	2847	2264
rutabaga	4855	2419	2786
sage	611	655	1044
scallion	1897	3572	3456
spinach	1049	1034	649
strawberry	5	5	6
tamarind	3793	3795	3528
tangerine	834	323	226
thyme	714	428	655
tomato	3941	3321	3156
turnip	491	435	828
wasabi	1032	504	1466
watercress	2266	1104	871
watermelon	15370	13546	15495
yam	739	579	841
zucchini	3511	2507	1229
OR4F5	7651	6197	7769
FO538757.2	9	8	13
FO538757.1	1018	641	612
OR4F29	2988	3042	4863
OR4F16	8578	12583	16217
SAMD11	4137	4501	2499
NOC2L	1387	2679	2166
KLHL17	1467	2299	2188
PLEKHN1	1108	1280	615
PERM1	642	261	646
HES4	2386	2265	2689
ISG15	2939	2110	1887
AGRN	12	8	8
RNF223	52	173	109
C1orf159	739	1420	452
TTLL10	447	2162	954
TNFRSF18	33	33	7
TNFRSF4	1000	1371	549
SDF4	1955	3908	1576
B3GALT6	6619	6863	10429
FAM132A	16666	15874	14433
UBE2J2	6130	3339	5537
SCNN1D	1000	1579	2847
ACAP3	11231	4843	11734
PUSL1	1281	1175	2131
CPSF3L	1739	2059	4010
CPTP	1573	2706	1953
TAS1R3	2937	4068	8384
DVL1	2096	1283	1933
MXRA8	3334	7201	3140
AURKAIP1	335	538	705
CCNL2	1452	4677	867
MRPL20	108	63	56
ANKRD65	896	651	1309
TMEM88B	2254	4709	1833
VWA1	9	35	27
ATAD3C	7106	7444	5852
ATAD3B	1416	1797	2533
ATAD3A	422	541	714
TMEM240	640	791	930
SSU72	1900	4908	2247
AL645728.1	2894	2615	1039
FNDC10	5603	3723	9847
MIB2	3285	5400	4541
MMP23B	262	419	361
CDK11B	1942	1125	1728
SLC35E2B	1837	2234	1935
CDK11A	3194	3575	2499
SLC35E2	204	465	540
NADK	760	413	795
GNB1	879	1050	2752
CALML6	268	821	341
TMEM52	3813	3495	3472
CFAP74	91	64	76
GABRD	952	1287	3008
PRKCZ	1734	1695	1716
FAAP20	534	1747	575
SKI	706	471	369
MORN1	2209	1371	1010
RER1	501	1310	1080
PEX10	725	229	658
PLCH2	5034	6247	4862
PANK4	413	568	600
HES5	2875	3920	3798
TNFRSF14	2374	1715	2151
FAM213B	827	211	371
MMEL1	1609	2131	2640
TTC34	1456	6030	5007
ACTRT2	7320	6065	5782
PRDM16	2156	2032	1803
ARHGEF16	2414	1308	1469
MEGF6	5116	5615	3460
TPRG1L	732	1742	988
WRAP73	6268	4199	4114
TP73	8509	4794	5561
CCDC27	1153	554	866
SMIM1	364	753	719
LRRC47	130	77	167
CEP104	4226	10220	8362
DFFB	320	370	561
C1orf174	7271	15428	7287
AJAP1	1009	681	1096
NPHP4	45	88	82
KCNAB2	4087	2403	3099
CHD5	1394	924	798
RPL22	16309	17034	14280
RNF207	5851	4583	4501
ICMT	1262	935	1151
HES3	15	23	16
GPR153	1070	1370	548
ACOT7	1769	467	1674
HES2	3842	4144	14138
ESPN	9536	7162	6833
TNFRSF25	347	450	563
PLEKHG5	2296	6532	1888
NOL9	7256	9582	8351
TAS1R1	676	1303	1670
ZBTB48	3024	3364	2697
KLHL21	8100	5161	4857
PHF13	3190	1655	3330
THAP3	4352	5548	6250
DNAJC11	1104	1940	2241
CAMTA1	1953	2292	775
VAMP3	20882	16027	7771
PER3	8617	8389	6951
UTS2	367	150	139
TNFRSF9	1923	1325	804
PARK7	4408	2572	3137
ERRFI1	757	711	903
SLC45A1	443	709	302
RERE	9613	5329	5249
ENO1	6083	9718	5540
CA6	1564	2139	2148
SLC2A7	7380	5608	8843
SLC2A5	1816	1063	859
GPR157	1748	554	1553
H6PD	298	326	252
SPSB1	315	560	129
SLC25A33	1876	2751	1877
TMEM201	435	1037	1611
PIK3CD	3739	4324	4521
CLSTN1	5366	7189	2719
AL357140.1	3827	3884	737
CTNNBIP1	3434	3922	4006
LZIC	1820	1628	3121
NMNAT1	115	120	243
RBP7	930	1717	3765
UBE4B	4876	3852	2633
KIF1B	175	52	159
PGD	1900	4825	3607
APITD1-CORT	7374	9368	10839
APITD1	723	1066	1269
CORT	5872	5599	2689
DFFA	36	34	13
PEX14	5994	4903	3750
CASZ1	937	1137	1454
C1orf127	766	1584	2179
TARDBP	873	1491	2996
RP4-635E18.9	645	359	318
MASP2	5531	7195	4801
SRM	2433	2002	3409
EXOSC10	22076	11947	10151
MTOR	5003	6632	5318
ANGPTL7	1875	1547	936
UBIAD1	429	575	296
DISP3	839	1153	383
FBXO2	5423	9823	4052
FBXO44	4634	2686	5258
FBXO6	37	42	29
