#gene	sample1	sample2	sample3
anise	629041	603748	509380
apricot	279	169	123
artichoke	20145	8063	2391
arugula	2415	2613	3016
asparagus	449	185	330
avocado	381	455	775
banana	1387	922	961
basil	1100	726	398
beet	61	18	28
blackberry	249	192	112
blueberry	791	497	341
broccoli	285022	314981	453465
butternut	100589	189504	82422
cabbage	1757564	970872	1748919
cantaloupe	348175	169174	169463
caraway	1486	2065	2410
carrot	258620	577000	319579
cauliflower	2978	2156	2176
cayenne	59605	83754	57247
celery	719619	917199	649099
chard	117932	81579	58081
cherry	266494	282654	401181
chestnut	1133	728	1170
chickpea	38274	39654	30498
cilantro	28397	20887	25532
clementine	38052	52103	40694
coconut	246491	252090	114983
coriander	337	107	200
cranberry	528048	904588	1077138
cucumber	208471	53768	87466
currant	106601	55501	108271
eggplant	3517	1150	1843
elderberry	2158	1897	1726
endive	2788	3288	2638
fennel	193759	484353	298603
fig	1846691	1698946	1266800
garlic	218208	185732	276255
ginger	149	111	81
gooseberry	17216	17056	17367
grape	905	994	514
grapefruit	103070	120826	194803
guava	4748	1846	1638
honeydew	219607	244320	92823
horseradish	12618	14936	11715
huckleberry	179	269	136
juniper	2623	2423	2378
kiwi	83237	149312	166929
kohlrabi	47229	76300	46593
lavender	132592	161404	78254
leek	38810	32261	25581
lentil	358844	137346	263162
lettuce	958	778	135
lime	3969	5397	2924
maize	27573	40065	51413
mango	4310	3058	4415
melon	907609	1121543	797169
mulberry	224	207	116
mushroom	2656	2562	1613
mustard	562	723	2091
nectarine	52295	27029	62721
okra	126700	146244	437259
olive	2384	3621	2809
onion	62689	253221	156858
orange	38360	48402	34752
oregano	52236	22297	8360
papaya	1036	2060	1509
parsley	0	2	0
parsnip	2006	2238	2418
pea	1893	3264	3092
peach	526	507	765
pear	388	331	495
pepper	11402	19176	13286
persimmon	509	413	650
pineapple	2946	2098	5531
plantain	2850	4171	2663
plum	1030	2553	3317
pomegranate	182598	159165	188681
potato	267	386	534
pumpkin	4540	4114	3953
quince	148238	153480	76694
radish	140179	103639	151202
raisin	759	320	501
raspberry	10335	7771	8999
rhubarb	116813	193129	194047
rosemary	1843	2177	6925
rutabaga	2621	2021	1593
sage	75307	120396	86864
scallion	1956	2241	2066
spinach	37132	25406	76848
strawberry	1	3	4
tamarind	1450	1692	3720
tangerine	46556	52996	63907
thyme	29181	37787	23152
tomato	3182	3974	1902
turnip	18025	59197	32242
wasabi	116851	102763	161458
watercress	975	684	1712
watermelon	959095	285253	992463
yam	109167	53460	83175
zucchini	523	714	1736
OR4F5	4237	11624	5140
FO538757.2	4	9	17
FO538757.1	641	1046	368
OR4F29	5371	3704	4013
OR4F16	6723	4003	7249
SAMD11	1792	3793	2329
NOC2L	310	3080	2087
KLHL17	2181	2656	1825
PLEKHN1	498	1498	1188
PERM1	660	247	380
HES4	2318	3167	1472
ISG15	1689	1818	1422
AGRN	4	5	3
RNF223	178	203	49
C1orf159	990	918	849
TTLL10	952	657	779
TNFRSF18	30	32	15
TNFRSF4	1254	468	1145
SDF4	1231	1012	1943
B3GALT6	2732	10031	10472
FAM132A	11014	9725	17792
UBE2J2	4539	3943	3107
SCNN1D	1405	1256	1221
ACAP3	7398	8231	7059
PUSL1	798	2072	940
CPSF3L	2167	1714	2376
CPTP	1221	851	2021
TAS1R3	5298	2904	4682
DVL1	3318	3924	1644
MXRA8	1543	4657	5409
AURKAIP1	114	196	328
CCNL2	2321	1345	1975
MRPL20	79	70	71
ANKRD65	872	863	589
TMEM88B	2132	2031	1568
VWA1	19	31	26
